Sr. No.,Shop Name,zone_clean,nlp_complaints,nlp_ct_feedback,nlp_suggestions,nlp_other_feedback,nlp_why_not_stocking,nlp_full_corpus
244,Naman Kirana,Amer_Periphery,not thick enough,customers haven't asked for it,smaller affordable sku for single-use,no_data,company rep hasn't offered it,not thick enough | customers haven't asked for it | smaller affordable sku for single-use | company rep hasn't offered it
245,Rasiya Juice And Fast Food Centre,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits | no customer demand/enquiry
246,Shri Balaji Dept Store,Malviya_Sanganer,curd is too sour,"sells okay, no specific complaints",more frequent sales rep visits,no_data,no_data,"curd is too sour | sells okay, no specific complaints | more frequent sales rep visits"
247,Jai Mata Di Sabji Bhandar,Vaishali_Mansarovar,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
248,Agarwal Provision,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
249,Guman Ji Misthan Bhandar,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no customer demand/enquiry,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | no customer demand/enquiry
250,Arihant Store,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
251,Radha Govind Foods,Vaishali_Mansarovar,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
252,Vijay Laxmi Kirana Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
253,Vardhman Kirana & General Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,low/unclear margin,no complaints | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | low/unclear margin
254,Laxmi Communication,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers | no customer demand/enquiry
255,Shri Krishna Mini Store,Malviya_Sanganer,not thick enough,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
256,Arihant Bakers,Amer_Periphery,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | no awareness among customers | more consumer-facing offers/free trials
257,Gomti Dept.,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
258,Chopra Kirana Store,Vaishali_Mansarovar,not thick enough,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,not thick enough | customers haven't asked for it | more frequent sales rep visits
259,Vinay Kirana And General Store,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | no awareness among customers | more consumer-facing offers/free trials
260,Jagdish Kirana Store,Amer_Periphery,not thick enough,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,not thick enough | customers haven't asked for it | more frequent sales rep visits
261,Mahaveer Provision Store,Malviya_Sanganer,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,saras is sufficient for my customers,curd is too sour | no awareness among customers | smaller affordable sku for single-use | saras is sufficient for my customers
262,Chabbra Kirana Store,Amer_Periphery,no complaints,no awareness among customers,better margins for retailers,no_data,no_data,no complaints | no awareness among customers | better margins for retailers
263,Mishra Genral Store,Amer_Periphery,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no_data,no complaints | customers haven't asked for it | more advertising in jaipur
264,Jai Durga,Malviya_Sanganer,no complaints,customers haven't asked for it,more consumer-facing offers/free trials,no_data,saras is sufficient for my customers,no complaints | customers haven't asked for it | more consumer-facing offers/free trials | saras is sufficient for my customers
265,Bharti Store,Vaishali_Mansarovar,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no customer demand/enquiry,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits | no customer demand/enquiry
266,Shyam Kishore Rathi,Amer_Periphery,no complaints,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,no complaints | customers haven't asked for it | more frequent sales rep visits
267,Shree Jagdamba Kirana Store,Amer_Periphery,no complaints,"sells okay, no specific complaints",more advertising in jaipur,no_data,no_data,"no complaints | sells okay, no specific complaints | more advertising in jaipur"
269,Krishna Genral Store,Vaishali_Mansarovar,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no customer demand/enquiry,curd is too sour | no awareness among customers | smaller affordable sku for single-use | no customer demand/enquiry
270,Maha Laxmi,Amer_Periphery,not thick enough,no awareness among customers,more advertising in jaipur,no_data,company rep hasn't offered it,not thick enough | no awareness among customers | more advertising in jaipur | company rep hasn't offered it
271,Ganesham Store,Malviya_Sanganer,not thick enough,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no customer demand/enquiry,not thick enough | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | no customer demand/enquiry
272,Ganesh Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
273,Jai Shanker,Malviya_Sanganer,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | no awareness among customers | more consumer-facing offers/free trials
274,Shree Balaji General Store,Amer_Periphery,no complaints,"texture is creamy, some prefer it over masti",more consumer-facing offers/free trials,no_data,no_data,"no complaints | texture is creamy, some prefer it over masti | more consumer-facing offers/free trials"
275,Jai Mata Di General Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,low/unclear margin,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | low/unclear margin
276,Kisan Sabji Bhandar,Amer_Periphery,no complaints,"sells okay, no specific complaints",more consumer-facing offers/free trials,no_data,no_data,"no complaints | sells okay, no specific complaints | more consumer-facing offers/free trials"
277,Niraj Kirana Store,Vaishali_Mansarovar,no complaints,customers haven't asked for it,better margins for retailers,no_data,no_data,no complaints | customers haven't asked for it | better margins for retailers
278,Rajendra Kirana Store,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more advertising in jaipur
279,Cake Point,Amer_Periphery,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no customer demand/enquiry,no complaints | no awareness among customers | smaller affordable sku for single-use | no customer demand/enquiry
280,Gupta Kirana & Genral Store,Amer_Periphery,no complaints,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,no complaints | no awareness among customers | more consumer-facing offers/free trials
281,D.K General Store,Amer_Periphery,not thick enough,no awareness among customers,more frequent sales rep visits,no_data,no_data,not thick enough | no awareness among customers | more frequent sales rep visits
282,Lalit Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
283,Tanwar Kirana And General Store,Jhotwara_Murlipura,not thick enough,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,not thick enough | no awareness among customers | smaller affordable sku for single-use
284,Virendra Kirana Store,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
285,Jain Kirana Store,Amer_Periphery,curd is too sour,customers like the cup format,smaller affordable sku for single-use,no_data,no_data,curd is too sour | customers like the cup format | smaller affordable sku for single-use
286,Shree Syam General Store,C_Scheme,curd is too sour,"texture is creamy, some prefer it over masti",more advertising in jaipur,no_data,no_data,"curd is too sour | texture is creamy, some prefer it over masti | more advertising in jaipur"
287,Radha Govind Kirana Store,Vaishali_Mansarovar,curd is too sour,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | customers haven't asked for it | more consumer-facing offers/free trials
288,Ganesh Provision,Amer_Periphery,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no_data,curd is too sour | customers haven't asked for it | better margins for retailers
289,Krishna Kirana Store,Malviya_Sanganer,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
290,Vijayvargi Kirana Store,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
291,Komal Kirana,Amer_Periphery,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,saras is sufficient for my customers,curd is too sour | no awareness among customers | more consumer-facing offers/free trials | saras is sufficient for my customers
292,Mahadevan Kirana Store,Amer_Periphery,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | no awareness among customers | more consumer-facing offers/free trials
293,Om Kirana Store,Amer_Periphery,curd is too sour,"good freshness, priced right",smaller affordable sku for single-use,no_data,no_data,"curd is too sour | good freshness, priced right | smaller affordable sku for single-use"
294,Diwanshu Dept Store,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no customer demand/enquiry,no complaints | no awareness among customers | more advertising in jaipur | no customer demand/enquiry
295,Ravi Kirana Store,Vaishali_Mansarovar,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,no complaints | no awareness among customers | smaller affordable sku for single-use
296,Rajdhani Super Mart,Vaishali_Mansarovar,not thick enough,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,not thick enough | customers haven't asked for it | more consumer-facing offers/free trials
297,Arihant Provision Store,Vaishali_Mansarovar,no complaints,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,no complaints | customers haven't asked for it | smaller affordable sku for single-use
298,Krishna Coldrinks,Amer_Periphery,not thick enough,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,not thick enough | customers haven't asked for it | more consumer-facing offers/free trials
299,Gulab Trading,Amer_Periphery,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no customer demand/enquiry,curd is too sour | no awareness among customers | smaller affordable sku for single-use | no customer demand/enquiry
300,One Two Ka Four,Amer_Periphery,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,curd is too sour | no awareness among customers | smaller affordable sku for single-use
301,Sunshine Bakers,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
302,Balaji Departmental Store,Jhotwara_Murlipura,no complaints,"texture is creamy, some prefer it over masti",smaller affordable sku for single-use,no_data,no_data,"no complaints | texture is creamy, some prefer it over masti | smaller affordable sku for single-use"
303,Shree Shyam Traders,Amer_Periphery,no complaints,"good freshness, priced right",more advertising in jaipur,no_data,no_data,"no complaints | good freshness, priced right | more advertising in jaipur"
304,Shree Ram General Store,Jhotwara_Murlipura,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
305,Agarawal Kirana,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,low/unclear margin,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | low/unclear margin
307,Bhagya Kirana Store,Amer_Periphery,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,curd is too sour | no awareness among customers | smaller affordable sku for single-use
308,M.P,Amer_Periphery,not thick enough,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,not thick enough | customers haven't asked for it | smaller affordable sku for single-use
309,Ashoka General Store,Amer_Periphery,curd is too sour,"texture is creamy, some prefer it over masti",more consumer-facing offers/free trials,no_data,no_data,"curd is too sour | texture is creamy, some prefer it over masti | more consumer-facing offers/free trials"
310,Sanju Std,Amer_Periphery,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no customer demand/enquiry,curd is too sour | no awareness among customers | smaller affordable sku for single-use | no customer demand/enquiry
311,Jagdamba Dairy,Vaishali_Mansarovar,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
312,Janvi Kirana Store,Malviya_Sanganer,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no customer demand/enquiry,no complaints | customers haven't asked for it | more advertising in jaipur | no customer demand/enquiry
313,,Vaishali_Mansarovar,not thick enough,customers haven't asked for it,more advertising in jaipur,no_data,no_data,not thick enough | customers haven't asked for it | more advertising in jaipur
314,Shivom Kirana Store,Vaishali_Mansarovar,packaging leaks or breaks,no awareness among customers,better margins for retailers,no_data,low/unclear margin,packaging leaks or breaks | no awareness among customers | better margins for retailers | low/unclear margin
315,Ameen Kirana,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
316,Sitaram,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
317,Choudhary Milk,C_Scheme,not thick enough,customers haven't asked for it,better margins for retailers,no_data,no customer demand/enquiry,not thick enough | customers haven't asked for it | better margins for retailers | no customer demand/enquiry
318,Neelam Amul,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | no awareness among customers | more consumer-facing offers/free trials
319,Deepak Kirana Store,Malviya_Sanganer,packaging leaks or breaks,"sells okay, no specific complaints",better margins for retailers,no_data,no_data,"packaging leaks or breaks | sells okay, no specific complaints | better margins for retailers"
320,Balaji Kirana,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | no customer demand/enquiry
321,Manju Kirana & Genral Store,Jhotwara_Murlipura,no complaints,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,no complaints | customers haven't asked for it | more frequent sales rep visits
322,Mohit Kirana & General Store,Jhotwara_Murlipura,no complaints,"texture is creamy, some prefer it over masti",more advertising in jaipur,no_data,no_data,"no complaints | texture is creamy, some prefer it over masti | more advertising in jaipur"
323,Choudhary Tea Stall,Amer_Periphery,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no_data,no complaints | customers haven't asked for it | more advertising in jaipur
324,Rohit Deparmental,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,low/unclear margin,no complaints | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | low/unclear margin
325,Shree Ganesh General Store,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,low/unclear margin,not thick enough | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | low/unclear margin
326,Ravi Brothers,Amer_Periphery,no complaints,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,no complaints | no awareness among customers | more consumer-facing offers/free trials
327,Shubhash Coldrinks,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
328,Shubam,Malviya_Sanganer,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
329,Ganesh Juice,Amer_Periphery,not thick enough,customers haven't asked for it,smaller affordable sku for single-use,no_data,saras is sufficient for my customers,not thick enough | customers haven't asked for it | smaller affordable sku for single-use | saras is sufficient for my customers
330,Amit Departmental Store,Amer_Periphery,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
331,Sharma Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | no customer demand/enquiry
332,Mahaveer Mishtan Bhandar,Vaishali_Mansarovar,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no customer demand/enquiry,packaging leaks or breaks | no awareness among customers | more advertising in jaipur | no customer demand/enquiry
333,Ark Entp.,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
334,Vinayakn Deepa,Amer_Periphery,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
335,Arihant Kirana Store,Jhotwara_Murlipura,no complaints,customers like the cup format,more consumer-facing offers/free trials,no_data,no_data,no complaints | customers like the cup format | more consumer-facing offers/free trials
337,Govind Kirana,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
338,Shri Ji Trading Company,Jhotwara_Murlipura,not thick enough,"sells okay, no specific complaints",more advertising in jaipur,no_data,no_data,"not thick enough | sells okay, no specific complaints | more advertising in jaipur"
339,,Amer_Periphery,no complaints,customers like the cup format,more advertising in jaipur,no_data,no_data,no complaints | customers like the cup format | more advertising in jaipur
340,Pandit Restaurant,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
341,Shree Ji Provision,Vaishali_Mansarovar,no complaints,"good freshness, priced right",more advertising in jaipur,no_data,no_data,"no complaints | good freshness, priced right | more advertising in jaipur"
342,Sharma Kirana Store,Jhotwara_Murlipura,no complaints,customers like the cup format,more consumer-facing offers/free trials,no_data,no_data,no complaints | customers like the cup format | more consumer-facing offers/free trials
343,Lal Ji Sweets,Amer_Periphery,no complaints,no awareness among customers,better margins for retailers,no_data,no_data,no complaints | no awareness among customers | better margins for retailers
344,A.V.Enterprises,Vaishali_Mansarovar,curd is too sour,customers like the cup format,smaller affordable sku for single-use,no_data,no_data,curd is too sour | customers like the cup format | smaller affordable sku for single-use
345,Gupta Kirana Store,Amer_Periphery,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
346,Dhakad Kirana Store,Amer_Periphery,curd is too sour,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | customers haven't asked for it | more consumer-facing offers/free trials
347,Farm Fresh,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | no awareness among customers | more consumer-facing offers/free trials
348,Radha Govind Departmental Store,Jhotwara_Murlipura,not thick enough,customers haven't asked for it,more advertising in jaipur,no_data,no_data,not thick enough | customers haven't asked for it | more advertising in jaipur
349,Diksha Kirana Store,Amer_Periphery,curd is too sour,no awareness among customers,better margins for retailers,no_data,no_data,curd is too sour | no awareness among customers | better margins for retailers
350,Sharma Departmental Store,Malviya_Sanganer,not thick enough,customers haven't asked for it,more frequent sales rep visits,no_data,no customer demand/enquiry company rep hasn't offered it,not thick enough | customers haven't asked for it | more frequent sales rep visits | no customer demand/enquiry company rep hasn't offered it
351,Yes 99 Café,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
352,Raj Fancy Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,low/unclear margin,no complaints | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits | low/unclear margin
353,Pink City Bakers,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
354,I.G Kirana,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,company rep hasn't offered it,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | company rep hasn't offered it
355,Shree Krishna Amul Parlour,C_Scheme,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers | no customer demand/enquiry
356,Saras 2524,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no customer demand/enquiry company rep hasn't offered it,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers | no customer demand/enquiry company rep hasn't offered it
357,Vijay Kirana Store,Jhotwara_Murlipura,not thick enough,"sells okay, no specific complaints",smaller affordable sku for single-use,no_data,no_data,"not thick enough | sells okay, no specific complaints | smaller affordable sku for single-use"
358,Masso Lal Enterprises,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | no awareness among customers | more advertising in jaipur
359,Mahi Enterprises,Amer_Periphery,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,curd is too sour | no awareness among customers | smaller affordable sku for single-use
360,Pooja Kirana,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
361,Mama Tea Point,Amer_Periphery,not thick enough,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,not thick enough | no awareness among customers | more consumer-facing offers/free trials
362,Milk Point,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more consumer-facing offers/free trials
363,Agrawal Kirana,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more advertising in jaipur
364,Saraswati Kirana Store,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
365,Annpurna Kirana General Store,Amer_Periphery,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no customer demand/enquiry,no complaints | customers haven't asked for it | more advertising in jaipur | no customer demand/enquiry
366,Hitesh Milk,Old_City,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no_data,no complaints | customers haven't asked for it | more advertising in jaipur
367,Rajasthan Bakery,Amer_Periphery,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,no complaints | no awareness among customers | smaller affordable sku for single-use
368,Suman Saini (Agarwal Kirana),Amer_Periphery,no complaints,no awareness among customers,more frequent sales rep visits,no_data,saras is sufficient for my customers,no complaints | no awareness among customers | more frequent sales rep visits | saras is sufficient for my customers
369,Vinayak Kitchen,Amer_Periphery,not thick enough,customers haven't asked for it,more advertising in jaipur,no_data,no customer demand/enquiry company rep hasn't offered it,not thick enough | customers haven't asked for it | more advertising in jaipur | no customer demand/enquiry company rep hasn't offered it
370,Shree Shyam Sweets,Malviya_Sanganer,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no customer demand/enquiry,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | no customer demand/enquiry
371,Balaji Departmental Store,Amer_Periphery,no complaints,"sells okay, no specific complaints",more advertising in jaipur,no_data,no_data,"no complaints | sells okay, no specific complaints | more advertising in jaipur"
372,Keshav Deprt Store,Amer_Periphery,packaging leaks or breaks,"sells okay, no specific complaints",more consumer-facing offers/free trials,no_data,no_data,"packaging leaks or breaks | sells okay, no specific complaints | more consumer-facing offers/free trials"
373,Saini Tea,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
374,Jai Laxmi Fruits&Sabji Bhandar,Vaishali_Mansarovar,not thick enough,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,not thick enough | customers haven't asked for it | smaller affordable sku for single-use
375,Balaji Trading,Amer_Periphery,no complaints,customers haven't asked for it,more consumer-facing offers/free trials,no_data,company rep hasn't offered it,no complaints | customers haven't asked for it | more consumer-facing offers/free trials | company rep hasn't offered it
376,Shree Ram Dairy,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
377,Shree Ram Dakad Kirana,Amer_Periphery,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no_data,curd is too sour | customers haven't asked for it | better margins for retailers
378,Radhika Bakers,Jhotwara_Murlipura,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
379,Radhika Sweets,Jhotwara_Murlipura,no complaints,no awareness among customers,more frequent sales rep visits,no_data,no_data,no complaints | no awareness among customers | more frequent sales rep visits
380,Bhoomi Kirana,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
381,Bajrang Bali Deptartmental Store,Amer_Periphery,no complaints,no awareness among customers,more frequent sales rep visits,no_data,company rep hasn't offered it,no complaints | no awareness among customers | more frequent sales rep visits | company rep hasn't offered it
382,Asirwad Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
383,Anant Super Mart,Vaishali_Mansarovar,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,low/unclear margin,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | low/unclear margin
384,Sms Tea & Genral Store,Amer_Periphery,not thick enough,no awareness among customers,more advertising in jaipur,no_data,no_data,not thick enough | no awareness among customers | more advertising in jaipur
385,Siddhi Vinayak Store,Amer_Periphery,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,no_data,curd is too sour | customers haven't asked for it | more advertising in jaipur
386,Saleem Kirana Store,Amer_Periphery,no complaints,"sells okay, no specific complaints",better margins for retailers,no_data,no_data,"no complaints | sells okay, no specific complaints | better margins for retailers"
387,Sharma Canteen,Amer_Periphery,packaging leaks or breaks,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,packaging leaks or breaks | no awareness among customers | smaller affordable sku for single-use
388,Brijdham Sweets,Malviya_Sanganer,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,no complaints | no awareness among customers | smaller affordable sku for single-use
